,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
425,0.7034,0.7197777777777777,0.7002,0.6861498111111111,0.8,0.547,0.785661888888889,1000,1.0,0.0,425
439,0.7122,0.719,0.769,0.6971443,0.7338888888888889,0.7315555555555555,0.7221087777777777,1000,1.0,5.995728638356669e-25,439
148,0.7296,0.737,0.7034,0.7243821888888888,0.7412222222222222,0.6402222222222222,0.731829,1000,2.7630206350708817e-163,1.0,148
247,0.7377,0.742,0.7875,0.7196433666666667,0.7807777777777778,0.641,0.772959111111111,1000,1.0,0.0,247
92,0.7449,0.7454444444444445,0.7694,0.7278139666666668,0.8013333333333333,0.7061111111111111,0.7924876666666667,1000,1.0,0.0,92
299,0.7463,0.7668888888888888,0.7793,0.7370253444444445,0.8105555555555556,0.7943333333333333,0.7953261111111112,1000,1.0,0.0,299
125,0.7503,0.7471111111111111,0.8148,0.735280588888889,0.8063333333333333,0.7147777777777777,0.7979297777777777,1000,1.0,0.0,125
482,0.7532,0.76,0.78,0.7365273222222222,0.8006666666666666,0.7084444444444444,0.7931708888888889,1000,1.0,0.0,482
128,0.757,0.7693333333333333,0.77,0.7449709555555555,0.7718888888888888,0.6667777777777778,0.7591022222222222,1000,3.316050316837745e-285,1.0,128
54,0.771,0.775,0.753,0.7531543333333333,0.7942222222222223,0.7355555555555555,0.7782091111111111,1000,1.0,1.7582106586162253e-38,54
75,0.7741,0.7801111111111111,0.7525,0.7605685,0.7734444444444445,0.6924444444444444,0.7667883333333334,1000,0.0,1.0,75
350,0.7763,0.7682222222222223,0.8049,0.7448429555555557,0.805,0.6084444444444445,0.7855133333333333,1000,1.0,0.0,350
274,0.7821,0.7937777777777778,0.7669,0.7751273999999999,0.7925555555555556,0.7391111111111112,0.7831446666666667,1000,0.0,1.0,274
100,0.7831,0.7861111111111111,0.7822,0.7684511555555555,0.7852222222222223,0.6968888888888889,0.7746406666666666,1000,0.0,1.0,100
271,0.7839,0.7891111111111111,0.7993,0.7726077888888889,0.8054444444444444,0.6653333333333333,0.7976856666666667,1000,1.0,0.0,271
240,0.7883,0.8123333333333334,0.7962,0.7825877444444445,0.8423333333333334,0.7652222222222222,0.8314774444444445,1000,1.0,0.0,240
286,0.7884,0.7904444444444444,0.7845,0.7758218555555556,0.794,0.6964444444444444,0.7826927777777778,1000,1.3627620350603754e-261,1.0,286
77,0.7898,0.778,0.7865,0.7716309555555556,0.8044444444444444,0.7208888888888889,0.7915229999999999,1000,1.0,0.0,77
327,0.79,0.7864444444444444,0.8281,0.7701896111111112,0.7913333333333333,0.7316666666666667,0.7782454444444444,1000,3.768296223209867e-234,1.0,327
472,0.7904,0.7875555555555556,0.7823,0.7746146777777778,0.7886666666666666,0.7281111111111112,0.779829,1000,1.922221660068802e-262,1.0,472
48,0.7921,0.8032222222222222,0.7846,0.7853199888888889,0.8002222222222222,0.743,0.7915076666666666,1000,0.0,1.0,48
208,0.7926,0.7946666666666666,0.7788,0.7757564444444445,0.7992222222222222,0.7597777777777778,0.7894307777777777,1000,2.9044301650495185e-148,1.0,208
184,0.7928,0.7925555555555556,0.769,0.7733546222222222,0.7917777777777778,0.7084444444444444,0.7801603333333333,1000,0.0,1.0,184
168,0.7944,0.7994444444444444,0.7882,0.7853128666666668,0.7976666666666666,0.7098888888888889,0.7897067777777778,1000,0.0,1.0,168
316,0.7973,0.7963333333333333,0.7924,0.7768044555555557,0.799,0.7316666666666667,0.7923017777777779,1000,3.890293772638909e-65,1.0,316
374,0.7976,0.7977777777777778,0.7922,0.779823688888889,0.7965555555555556,0.7245555555555555,0.7863732222222223,1000,0.0,1.0,374
463,0.7982,0.8042222222222222,0.8143,0.7848710555555556,0.813,0.7597777777777778,0.8027975555555557,1000,8.382912589769955e-11,0.9999999999161708,463
81,0.7991,0.802,0.7446,0.785151,0.8287777777777777,0.6493333333333333,0.8197286666666667,1000,1.0,0.0,81
63,0.7994,0.8043333333333333,0.7764,0.7876890999999999,0.803,0.7224444444444444,0.7939112222222222,1000,0.0,1.0,63
453,0.8001,0.8031111111111111,0.7685,0.7905897333333334,0.8134444444444444,0.7493333333333333,0.8032554444444444,1000,0.7996163109991962,0.20038368900080383,453
233,0.8016,0.797,0.809,0.7856329666666666,0.8151111111111111,0.7387777777777778,0.8031726666666668,1000,1.0,1.7521271876715704e-133,233
185,0.8016,0.8161111111111111,0.8053,0.7845563444444444,0.8233333333333334,0.7872222222222223,0.8123196666666667,1000,7.057625888285509e-87,1.0,185
351,0.8037,0.8223333333333334,0.7928,0.7956167777777777,0.8447777777777777,0.7943333333333333,0.83765,1000,1.0,0.0,351
216,0.8037,0.8072222222222222,0.7967,0.7906980333333333,0.8062222222222222,0.7357777777777778,0.7969258888888889,1000,0.0,1.0,216
202,0.8072,0.8146666666666667,0.8122,0.7991496111111112,0.8103333333333333,0.7702222222222223,0.8043566666666667,1000,0.0,1.0,202
18,0.8077,0.8027777777777778,0.8048,0.7892818888888888,0.81,0.7494444444444445,0.7982414444444444,1000,5.97259219394133e-86,1.0,18
211,0.8084,0.808,0.7754,0.7935305111111111,0.8298888888888889,0.7565555555555555,0.8174436666666667,1000,1.0,0.0,211
277,0.8091,0.8164444444444444,0.7909,0.7970947777777777,0.8151111111111111,0.7454444444444445,0.805021,1000,2.4586727555e-313,1.0,277
111,0.8093,0.8161111111111111,0.8053,0.8000007888888889,0.8222222222222222,0.7325555555555555,0.8115225555555555,1000,3.3914830731114566e-125,1.0,111
499,0.8123,0.8186666666666667,0.8148,0.800400388888889,0.8416666666666667,0.8037777777777778,0.829047,1000,1.0,1.6662831822775027e-209,499
432,0.8125,0.8082222222222222,0.8085,0.7916646333333333,0.8073333333333333,0.7262222222222222,0.8000170000000001,1000,5.532297856244283e-306,1.0,432
245,0.8144,0.8176666666666667,0.8198,0.8002841888888889,0.8211111111111111,0.7108888888888889,0.809933,1000,3.7361485600426364e-244,1.0,245
291,0.8146,0.8173333333333334,0.7485,0.7955685888888888,0.835,0.8042222222222222,0.8209723333333334,1000,1.0,1.0372604449180458e-51,291
21,0.815,0.8105555555555556,0.7871,0.7919815444444445,0.809,0.7266666666666667,0.7991663333333333,1000,0.0,1.0,21
284,0.8155,0.8168888888888889,0.7732,0.8027518666666666,0.8168888888888889,0.7265555555555555,0.8083696666666668,1000,8.963410301680045e-290,1.0,284
53,0.8164,0.823,0.8187,0.8017621444444444,0.8367777777777777,0.7285555555555555,0.8271073333333334,1000,1.0,1.2967431781983839e-61,53
19,0.8166,0.8316666666666667,0.818,0.8162844333333333,0.83,0.746,0.8208275555555556,1000,0.0,1.0,19
141,0.8179,0.8392222222222222,0.7845,0.8138017777777777,0.8497777777777777,0.7888888888888889,0.837737111111111,1000,2.1090091272471478e-13,0.9999999999997891,141
9,0.8189,0.8216666666666667,0.8233,0.8047683777777778,0.8316666666666667,0.7058888888888889,0.8224487777777778,1000,0.9996268915873443,0.00037310841265570706,9
395,0.819,0.8321111111111111,0.8874,0.8098912444444444,0.8852222222222222,0.8372222222222222,0.8744055555555555,1000,1.0,0.0,395
404,0.8196,0.8173333333333334,0.7862,0.8023542333333333,0.8166666666666667,0.7482222222222222,0.8085683333333333,1000,4.4946409634e-314,1.0,404
359,0.8198,0.8192222222222222,0.8435,0.8029486444444445,0.844,0.7985555555555556,0.8344662222222223,1000,1.0,0.0,359
167,0.8206,0.82,0.8131,0.8011790222222221,0.8312222222222222,0.7766666666666666,0.8212587777777777,1000,0.9999999999991334,8.666208679311585e-13,167
129,0.8216,0.8177777777777778,0.814,0.8026090777777778,0.8266666666666667,0.7668888888888888,0.8173481111111112,1000,0.019714300037562874,0.9802856999624372,129
197,0.8233,0.8244444444444444,0.8141,0.8055083111111111,0.8206666666666667,0.7646666666666667,0.8113844444444444,1000,0.0,1.0,197
119,0.8241,0.8188888888888889,0.8009,0.8013320333333334,0.831,0.8111111111111111,0.8221248888888888,1000,1.0,8.711512643814344e-93,119
57,0.8245,0.8278888888888889,0.8157,0.8156535222222223,0.831,0.7597777777777778,0.8206494444444445,1000,3.301092554109308e-252,1.0,57
283,0.8246,0.8321111111111111,0.8594,0.8081215777777777,0.8562222222222222,0.8202222222222222,0.8494422222222222,1000,1.0,0.0,283
343,0.8258,0.8315555555555556,0.8414,0.8143629777777778,0.8451111111111111,0.7001111111111111,0.8335148888888889,1000,1.0,6.283352331688381e-22,343
60,0.8264,0.8367777777777777,0.8375,0.8195140111111112,0.8427777777777777,0.8173333333333334,0.8297827777777778,1000,1.5057014463681427e-158,1.0,60
123,0.8267,0.8344444444444444,0.8292,0.8144509000000001,0.8477777777777777,0.6902222222222222,0.8340347777777778,1000,0.010900173782160816,0.9890998262178392,123
428,0.8289,0.818,0.7973,0.803913211111111,0.8416666666666667,0.7724444444444445,0.8314705555555555,1000,1.0,0.0,428
411,0.8309,0.8414444444444444,0.8334,0.8271070333333334,0.8417777777777777,0.7903333333333333,0.8332233333333333,1000,3.311090927607115e-263,1.0,411
89,0.8322,0.8373333333333334,0.8554,0.8223344666666665,0.8562222222222222,0.8138888888888889,0.8434113333333332,1000,1.0,1.5899293707907945e-132,89
103,0.8331,0.8322222222222222,0.8339,0.815878411111111,0.8336666666666667,0.7426666666666667,0.8230338888888888,1000,0.0,1.0,103
0,0.8331,0.8422222222222222,0.8274,0.8284837222222222,0.8403333333333334,0.7627777777777778,0.8327662222222223,1000,0.0,1.0,0
380,0.8344,0.8325555555555556,0.8397,0.8146639555555556,0.8391111111111111,0.7652222222222222,0.8288712222222222,1000,1.7352344614215975e-107,1.0,380
474,0.8349,0.8455555555555555,0.8294,0.8268558444444445,0.8458888888888889,0.7633333333333333,0.8367508888888889,1000,5.788217158699455e-307,1.0,474
365,0.8352,0.8365555555555556,0.8354,0.8197485777777778,0.8433333333333334,0.7788888888888889,0.8322676666666666,1000,3.9076878532023634e-145,1.0,365
361,0.8353,0.829,0.8239,0.8165042555555556,0.8321111111111111,0.7723333333333333,0.8233702222222222,1000,2.9446495779300936e-206,1.0,361
314,0.8362,0.8538888888888889,0.8999,0.8298883000000001,0.8983333333333333,0.8545555555555555,0.8893862222222222,1000,1.0,0.0,314
24,0.8366,0.8386666666666667,0.8312,0.8228137888888889,0.8325555555555556,0.7205555555555555,0.8273912222222223,1000,0.0,1.0,24
281,0.8368,0.8422222222222222,0.8413,0.8222923333333334,0.853,0.7718888888888888,0.8441374444444445,1000,1.0,3.4120524794143054e-30,281
416,0.837,0.8505555555555555,0.8415,0.8283133,0.8575555555555555,0.773,0.8480307777777778,1000,2.180311502770209e-41,1.0,416
402,0.8373,0.8586666666666667,0.8506,0.8303816999999999,0.8657777777777778,0.8222222222222222,0.8555972222222221,1000,2.0313685578351682e-73,1.0,402
190,0.8376,0.8487777777777777,0.8253,0.8302372444444445,0.8548888888888889,0.7774444444444445,0.8448391111111111,1000,1.248850307410977e-78,1.0,190
340,0.8386,0.8383333333333334,0.8376,0.8276341333333334,0.84,0.7571111111111111,0.8315168888888889,1000,4.868787354230895e-239,1.0,340
460,0.8395,0.8456666666666667,0.8523,0.8285761333333332,0.8507777777777777,0.7751111111111111,0.842819,1000,1.2773300316181582e-65,1.0,460
135,0.8398,0.8425555555555555,0.8519,0.8264754333333333,0.855,0.7856666666666666,0.8453336666666666,1000,1.0,1.399965196078217e-52,135
260,0.8408,0.8411111111111111,0.8267,0.8218010666666667,0.839,0.7411111111111112,0.8296033333333334,1000,0.0,1.0,260
74,0.8409,0.8407777777777777,0.8334,0.8274544333333334,0.8366666666666667,0.7781111111111111,0.8311258888888888,1000,0.0,1.0,74
438,0.8411,0.8485555555555555,0.8389,0.8355568666666666,0.848,0.7496666666666667,0.8395114444444445,1000,0.0,1.0,438
47,0.8414,0.8515555555555555,0.8265,0.832714011111111,0.8507777777777777,0.7331111111111112,0.8368047777777776,1000,0.0,1.0,47
145,0.8414,0.8411111111111111,0.8345,0.8252684222222222,0.8511111111111112,0.783,0.8406571111111112,1000,0.0014573827909374708,0.9985426172090626,145
486,0.8416,0.8438888888888889,0.8306,0.8255127,0.8724444444444445,0.6825555555555556,0.860812,1000,1.0,0.0,486
480,0.8421,0.8472222222222222,0.8517,0.820374088888889,0.8756666666666667,0.8292222222222222,0.866068,1000,1.0,0.0,480
423,0.8423,0.8498888888888889,0.8477,0.830583088888889,0.8682222222222222,0.7865555555555556,0.8585353333333332,1000,1.0,2.711284063937181e-290,423
101,0.8428,0.8422222222222222,0.838,0.8241410777777777,0.8493333333333334,0.7913333333333333,0.8370466666666666,1000,8.201625854264489e-160,1.0,101
445,0.844,0.84,0.8349,0.827082988888889,0.8536666666666667,0.8028888888888889,0.8385544444444445,1000,1.6185877229520738e-12,0.9999999999983814,445
426,0.8442,0.8556666666666667,0.8458,0.8394870333333334,0.8538888888888889,0.7066666666666667,0.8453705555555555,1000,0.0,1.0,426
73,0.8447,0.8416666666666667,0.8277,0.8260648111111112,0.865,0.8196666666666667,0.8540571111111113,1000,1.0,0.0,73
175,0.8452,0.8455555555555555,0.779,0.8258168444444446,0.8638888888888889,0.788,0.850719,1000,1.0,9.14549254704366e-115,175
370,0.8461,0.8435555555555555,0.839,0.8301698222222221,0.8437777777777777,0.7511111111111111,0.8338503333333334,1000,3.873e-321,1.0,370
